Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1978-12-29,0.0,0.07939045131206512,0.07391528363452425,0.07939045131206512,654224,0.0,0.0
1979-01-02,0.07939045131206512,0.07939045131206512,0.07939045131206512,0.07939045131206512,0,0.0,0.0
1979-01-03,0.0,0.08486558215112465,0.08212845772504807,0.08212845772504807,168832,0.0,0.0
1979-01-04,0.0,0.08486555516719818,0.0821284316114198,0.08486555516719818,177274,0.0,0.0
1979-01-05,0.0,0.09034075587987901,0.08486558401578473,0.090340755879879,333443,0.0,0.0
1979-01-08,0.0,0.09034075587987901,0.08760363139366253,0.090340755879879,299677,0.0,0.0
1979-01-09,0.0,0.09034075303544287,0.08486558134373785,0.0876036286354065,818835,0.0,0.0
1979-01-10,0.0,0.09034075303544287,0.0876036286354065,0.0876036286354065,502275,0.0,0.0
1979-01-11,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,143507,0.0,0.0
1979-01-12,0.0,0.0876036286354065,0.08486558134373785,0.0876036286354065,582470,0.0,0.0
1979-01-15,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,194157,0.0,0.0
1979-01-16,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,447405,0.0,0.0
1979-01-17,0.0,0.08486555516719818,0.08486555516719818,0.08486555516719818,177274,0.0,0.0
1979-01-18,0.0,0.0876036286354065,0.08486558134373785,0.0876036286354065,88637,0.0,0.0
1979-01-19,0.0,0.0876036286354065,0.08486558134373785,0.0876036286354065,624678,0.0,0.0
1979-01-22,0.0,0.09034075587987901,0.08760363139366253,0.090340755879879,590912,0.0,0.0
1979-01-23,0.0,0.09034075303544287,0.0876036286354065,0.0876036286354065,54870,0.0,0.0
1979-01-24,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,388314,0.0,0.0
1979-01-25,0.0,0.08486555516719818,0.08486555516719818,0.08486555516719818,173053,0.0,0.0
1979-01-26,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,160390,0.0,0.0
1979-01-29,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,189936,0.0,0.0
1979-01-30,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,156170,0.0,0.0
1979-01-31,0.0,0.08760360161432416,0.08486555516719818,0.08486555516719818,240586,0.0,0.0
1979-02-01,0.0,0.08486558215112465,0.08212845772504807,0.08212845772504807,362989,0.0,0.0
1979-02-02,0.0,0.08212850004052115,0.07939045131206512,0.07939045131206512,122403,0.0,0.0
1979-02-05,0.0,0.08212850004052115,0.07939045131206512,0.07939045131206512,173053,0.0,0.0
1979-02-06,0.0,0.08212850004052115,0.07939045131206512,0.07939045131206512,88637,0.0,0.0
1979-02-07,0.0,0.07665329426527022,0.07665329426527022,0.07665329426527023,143507,0.0,0.0
1979-02-08,0.0,0.07939041185397112,0.07665329426527022,0.07665329426527023,181494,0.0,0.0
1979-02-09,0.0,0.07665329426527022,0.07391524689766028,0.07665329426527023,215261,0.0,0.0
1979-02-12,0.0,0.08486555516719818,0.07391522204863833,0.08486555516719818,650003,0.0,0.0
